js_industryDT,last_,max_,_min,_stdev
USDJPY,-0.0063,0.0046,-1.0,0.001808
EURJPY,0.007,0.0091,-1.0,0.001476
AUDJPY,-0.0041,0.0091,-1.0,0.0995
GBPJPY,-0.0071,0.0116,-1.0,0.001762
NZDJPY,0.0024,0.0116,-1.0,0.00173
CADJPY,0.0002,0.0116,-1.0,0.002277
CHFJPY,0.0114,0.012,-1.0,0.001731
ZARJPY,0.019,0.0302,-1.0,0.001693
CNHJPY,-0.0028,0.0302,-1.0,0.001624
EURUSD,0.0135,0.0302,-1.0,0.101432
GBPUSD,-0.0007,0.0302,-1.0,0.001394
AUDUSD,0.0021,0.0302,-1.0,0.002017
