js_industryDT,last_,max_,_min,_stdev
J7747,-0.1149,0.0158,-0.1491,0.00896
J7741,-0.0635,0.0158,-0.1491,0.009442
J7733,0.1162,0.1738,-0.1491,0.015771
J7731,0.2386,0.2497,-0.1491,0.02774
J7729,0.0196,0.2497,-0.1491,0.025965
J7717,-0.0856,0.2497,-0.1712,0.010292
J7701,-0.0448,0.2497,-0.1712,0.0124
J4902,0.4657,0.5059,-0.1712,0.014803
J4543,-0.0476,0.5059,-0.1712,0.019299
